Priority,Category,Problem,Where,WhyImportant,HowToFix,Evidence
P0,runtime/integration,max_bot runtime сломан: compose и entrypoint ссылаются на удалённый backend.apps.max_bot.app.,docker-compose.yml; max_bot.py; backend/apps/max_bot/,Включение профиля max приводит к мгновенному падению сервиса и ложному ощущению готовности канала.,"Либо восстановить реализацию Max bot, либо удалить сервис, env surface и документацию из runtime-контура.",docker-compose max_bot service + max_bot.py -> backend.apps.max_bot.app:create_app; file отсутствует в workspace.
P0,contract/documentation,frontend/app/openapi.json устарел относительно live admin_ui app.,frontend/app/openapi.json; backend/apps/admin_ui/app.py,Клиентская типизация и интеграционный контракт расходятся с текущим backend; возможны неверные автогенерированные типы и ложные ожидания QA.,Генерировать OpenAPI из текущего app в CI и падать при drift; удалить мёртвые candidate portal paths.,"tracked paths=228, live admin_ui paths=221, stale portal paths=11."
P0,product/runtime drift,"Candidate portal удалён из runtime, но следы остаются в schema/docs/DTO.",frontend/app/openapi.json; docs/frontend/route-map.md; frontend/app/src/api/services/candidates.ts,Команда видит несуществующий публичный канал и может строить процессы/интеграции поверх нерабочего контракта.,Принять явное продуктовое решение: Telegram-first only или восстановление portal; затем зачистить оставшийся контракт.,Live routes не содержат /candidate/start or /candidate/journey; schema still contains /api/candidate/*.
P1,documentation,Канонические docs устарели и описывают удалённые candidate portal / Max bot потоки.,docs/frontend/route-map.md; docs/security/*; docs/qa/*,"Аудит, онбординг и change planning опираются на неверную карту системы.","Пересобрать docs from code: runtime topology, route map, trust boundaries, critical flows.","Docs reference backend/apps/admin_ui/routers/candidate_portal.py and backend/apps/max_bot/app.py, absent in current workspace."
P1,data model,Нет отдельной сущности application/requisition; кандидат и отклик смешаны в users.,backend/domain/candidates/models.py; backend/domain/models.py,"Нельзя нормально вести одного кандидата на несколько вакансий, строить pipeline per vacancy и считать конверсию.",Добавить Application и HiringRequest/Requisition как first-class сущности.,"Vacancy exists, but link candidate↔vacancy is mostly implicit via HH fields, slots and notes."
P1,workflow/data integrity,"Статусная модель фрагментирована: candidate_status, workflow_status, lifecycle_state, final_outcome.",backend/domain/candidates/models.py; backend/domain/candidates/status_service.py,"Легко получить расхождение между operational status, archival state и итогом найма.",Оставить один canonical lifecycle + отдельную историю переходов/event log.,Multiple overlapping status fields on users; status service still Telegram-ID keyed.
P1,dedup,"Дедупликация кандидатов неполная: phone_normalized индексируется, но не защищён уникальным правилом и merge-flow отсутствует.",backend/domain/candidates/models.py; backend/domain/hh_integration/importer.py,При повторных лидах и мультиканальном intake будут появляться дубли и разъезжаться коммуникации.,"Ввести dedup_keys, review queue и controlled merge process.","ix_users_phone_normalized exists, unique constraint for phone_normalized does not."
P1,authz,"RBAC coarse-grained: только admin/recruiter, без fine-grained permissions и team scoping.",backend/domain/auth_account.py; frontend/app/src/app/components/RoleGuard.tsx,"Трудно безопасно разделять доступ к аналитике, шаблонам, справочникам и системным операциям.",Добавить permission matrix и policy layer server-side.,"PrincipalType = Literal[admin,recruiter]; RoleGuard allow only admin/recruiter."
P1,channel architecture,Messenger health и часть доменной логики всё ещё Telegram-centric.,backend/apps/admin_ui/services/messenger_health.py; backend/domain/candidates/status_service.py,Переход к multi-channel будет дорогим и рискованным; observability уже искажена.,Вынести channel identity и channel health в channel-agnostic model.,"preferred_channel hardcoded telegram; default channels=(telegram,)."
P1,integration governance,n8n workflows не versioned в repo; есть только webhook call sites.,backend/domain/hh_sync/*; backend/apps/admin_api/hh_sync.py,Нельзя полноценно ревьюить и воспроизводить интеграционную логику.,Экспортировать workflow JSON/YAML и ввести owner/versioning/rollback policy.,No n8n workflow exports found; only env vars N8N_HH_SYNC_WEBHOOK_URL / N8N_HH_RESOLVE_WEBHOOK_URL.
