Service,Method,Path,Group,Назначение,Auth,Input,Output,Где используется
admin_api,GET,/,other,Root,none/implicit,none,200: application/json:none,backend:backend.apps.admin_api.main:root
admin_api,POST,/api/hh-integration/webhooks/{webhook_key},webhooks,Receive Hh Webhook,webhook_key in path,params: webhook_key(path:string),200: application/json:none,backend:backend.apps.hh_integration_webhooks:receive_hh_webhook
admin_api,POST,/api/hh-sync/callback,webhooks,Hh Sync Callback,X-Webhook-Secret header,params: x-webhook-secret(header:schema); body: application/json:SyncCallbackRequest,200: application/json:none,backend:backend.apps.admin_api.hh_sync:hh_sync_callback
admin_api,POST,/api/hh-sync/resolve-callback,webhooks,Hh Resolve Callback,X-Webhook-Secret header,params: x-webhook-secret(header:schema); body: application/json:ResolveCallbackRequest,200: application/json:none,backend:backend.apps.admin_api.hh_sync:hh_resolve_callback
admin_api,POST,/api/slot-assignments/{assignment_id}/confirm,scheduling,Api Confirm Slot Assignment,session cookie or bearer token + CSRF,params: assignment_id(path:integer); body: application/json:SlotAssignmentConfirmRequest,200: application/json:none,backend:backend.apps.admin_api.slot_assignments:api_confirm_slot_assignment
admin_api,POST,/api/slot-assignments/{assignment_id}/request-reschedule,scheduling,Api Request Reschedule,session cookie or bearer token + CSRF,params: assignment_id(path:integer); body: application/json:SlotAssignmentRescheduleRequest,200: application/json:none,backend:backend.apps.admin_api.slot_assignments:api_request_reschedule
admin_api,POST,/api/webapp/booking,tg-webapp,Create Booking,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string); body: application/json:CreateBookingRequest,201: application/json:BookingInfo,backend:backend.apps.admin_api.webapp.routers:create_booking
admin_api,POST,/api/webapp/cancel,tg-webapp,Cancel Booking,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string); body: application/json:CancelBookingRequest,204: no body,backend:backend.apps.admin_api.webapp.routers:cancel_booking
admin_api,GET,/api/webapp/intro_day,tg-webapp,Get Intro Day Info,Telegram initData header (X-Telegram-Init-Data),"params: city_id(query:integer), X-Telegram-Init-Data(header:string)",200: application/json:IntroDayInfo,backend:backend.apps.admin_api.webapp.routers:get_intro_day_info
admin_api,GET,/api/webapp/me,tg-webapp,Get Me,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string),200: application/json:CandidateInfo,backend:backend.apps.admin_api.webapp.routers:get_me
